Id,SKU,Type,Title,Subtitle,Product type name,Starting price,BIN price,Reserve price,Description,Description summary,Store Category Name,Store Category 2 Name,Similar products,Image1,Image2,Image3,Image4,Image5,Image6,Web price,RRP price,eBay Category Id,eBay Category2 Id,QTY,Condition,Condition Description,Dispatch time,Delivery Service 1 Name,Delivery Service 1 Price,Delivery Service 1 Add Price,Delivery Service 2 Name,Delivery Service 2 Price,Delivery Service 2 Add Price,Delivery Service 3 Name,Delivery Service 3 Price,Delivery Service 3 Add Price,Delivery Service 4 Name,Delivery Service 4 Price,Delivery Service 4 Add Price,Delivery Service 5 Name,Delivery Service 5 Price,Delivery Service 5 Add Price,Apply Domestic Rate Table,Apply International Rate Table,Int Delivery Service 1 Name,Int Delivery Service 1 Price,Int Delivery Service 1 Add Price,Int Delivery Service 1 Countries,Int Delivery Service 2 Name,Int Delivery Service 2 Price,Int Delivery Service 2 Add Price,Int Delivery Service 2 Countries,Int Delivery Service 3 Name,Int Delivery Service 3 Price,Int Delivery Service 3 Add Price,Int Delivery Service 3 Countries,Int Delivery Service 4 Name,Int Delivery Service 4 Price,Int Delivery Service 4 Add Price,Int Delivery Service 4 Countries,Int Delivery Service 5 Name,Int Delivery Service 5 Price,Int Delivery Service 5 Add Price,Int Delivery Service 5 Countries,Exclude Postage Locations,Ship Also,Best Offer Enabled,Best Offer Accept,Best Offer Decline,Weight,VAT,Ref Id,Ref Type,Variation SKU,Variation QTY,Variation Price,Variation WebPrice,VariationImageBy,Variation EAN,Variation RRPPrice,Variation1 Name,Variation1 Value,Variation2 Name,Variation2 Value,Variation3 Name,Variation3 Value,Variation4 Name,Variation4 Value,Variation5 Name,Variation5 Value,Variation6 Name,Variation6 Value,Compatibility1Name,Compatibility1Value,Compatibility2Name,Compatibility2Value,Compatibility3Name,Compatibility3Value,Compatibility4Name,Compatibility4Value,Compatibility5Name,Compatibility5Value,Compatibility6Name,Compatibility6Value,Compatibility7Name,Compatibility7Value,Compatibility8Name,Compatibility8Value,CompatibilityNotes,Item Specifics 1 Name,Item Specifics 1 Value,Item Specifics 2 Name,Item Specifics 2 Value,Item Specifics 3 Name,Item Specifics 3 Value,Item Specifics 4 Name,Item Specifics 4 Value,Item Specifics 5 Name,Item Specifics 5 Value,Item Specifics 6 Name,Item Specifics 6 Value,Item Specifics 7 Name,Item Specifics 7 Value,Item Specifics 8 Name,Item Specifics 8 Value,Item Specifics 9 Name,Item Specifics 9 Value,Tag,GMO Brand,GMO MPN,GMO Category
248bc9bd-e8cf-4002-bc3a-a931ed86078c,ZB26/25T17x16-Chrysler,Product,Chrysler Delta alloy wheel bolts M12 x 1.25 taper 17mm Hex set of 16,,,,13.99,,"<font rwr=""1"" size=""4"" style=""font-family:Arial""><font rwr=""1"" size=""4"" style=""font-family:Arial""><p style=""text-align: center;"">This listing is for a <font style=""font-size: 20px;""><strong>set of 16&nbsp;</strong></font>brand new wheel bolts.</p> <p style=""text-align: center;"">These nuts are top quality<font style=""font-size: 18px;""> high tensile carbon steel</font> which is <font style=""font-size: 18px;"">bright zinc plated to</font>&nbsp;resist rust.</p> <p style=""text-align: center;""><b>Suitable for original and after market wheels</b>.</p><p style=""text-align: center;""><br><br></p><table align=""center"" class="""" style=""width: 800px; height: 400px;""><tbody><tr><td class="""" style=""text-align: center; vertical-align: middle; width: 300px;""><div>&nbsp;<strong style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);""><font>Specifications</font></strong><br style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);""><span style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);"">Thread size: M12 x 1.25</span><br style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);""><span style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);"">Thread length: 26mm</span><br style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);""><span style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);"">Overall bolt width: 23mm</span><br style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);""><span style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);"">Overall bolt length: 51mm (inc the head)</span><br style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);""><span style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);"">Seat type: Tapered (Cone shaped)</span><br style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);""><span style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);"">Bolt material: Heat treated carbon alloy steel</span><br style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);""><span style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);"">Bolt finish: Bright zinc plated</span><br style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);""><span style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);"">Spanner size: 17mm Hex</span></div><div><span style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);"">&nbsp;</span></div><div><span style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);""></span></div></td><td style=""width: 300px;""><img src=""http://www.alloywheelnutsandbolts.co.uk/nutsbolts/ZB2625T17specs.jpg"" style=""text-align: center; width: 258px; height: 384px; top: 541px;"">&nbsp;</td></tr></tbody></table><p>&nbsp;</p> <p style=""text-align: center;""> </p> <p style=""text-align: center;""> </p><p style=""text-align: left;"">&nbsp;</p><hr><br><br><br><font style=""font-size: 26px;""><strong>FAQ's</strong></font><br>Below are some of the common questions we get with some answers<br><br><font style=""font-size: 22px;"">What is Hex?</font><br><font color=""#7f7f7f"">The Hex refers to the size of the nut/bolt head and therefore the corresponding size of the socket used with the wheel brace.</font><br><br><font style=""font-size: 22px;"">What is the seat?</font><br><font color=""#7f7f7f"">The seat is the part of the nut/bolt that comes into contact with the wheel in the bolt holes.<br>There are 3 main styles of seat<br><strong>Tapered</strong> - usually 60 degrees, this looks like a cone<br><strong>Radius</strong> - this looks like a bowl<br><strong>Flat </strong>- this is usually a flat washer.</font><br><br><font style=""font-size: 22px;"">What is M12 x 1.25?</font><br><font color=""#7f7f7f"">This is the size of the thread.<br>The <strong><span style=""text-decoration: underline;"">M</span></strong> number is the diameter of the thread and the 1.25 is the size of the pitch between each individual threads.<br>So an M12 x 1.25 is a 12mm diameter by 1.25mm thread.</font><br><br><img src=""http://www.trsuk.co.uk/template/threadpitch.jpg""><br><br><font color=""#7f7f7f"">There are 4 common sizes<br>M12 x1.25<br>M12 x 1.5<br>M14 x 1.25<br>M14 x 1.5</font><br><br><font style=""font-size: 22px;"">How do I know what nuts or bolts I need?</font><br><font color=""#7f7f7f"">We have tried to make it as easy as possible for you to identify the correct nuts/bolts for your car.<br>If the compatibility info of this listing is states for your car then this will be the standard fitment you require.<br>If you are still not sure please feel free to call us on <font style=""font-size: 18px;""><strong><span style=""text-decoration: underline;"">01622 735368</span></strong></font> and a member of our team will be happy to help.</font><p>&nbsp;</p><br><font rwr=""1"" size=""4"" style=""font-family:Arial""><font size=""5"" style=""font-family: Arial;"" color=""#ff0011"">Postage and Delivery</font><div style=""font-family: Arial;"">All postage prices are stated at the top of this page under the postage tab. We try to include a delivery service within the cost of all our listings so that there are no hidden costs. Please do check the postage tab to so which postage method is included.</div><div style=""font-family: Arial;""><br></div><div><div><font face=""Arial"" color=""#ff0011""></font></div><div><font face=""Arial""></font></div><div><font face=""Arial""><br></font></div><div><font face=""Arial""></font></div></div><div><font face=""Arial""><br></font></div><div style=""text-align: center;""><font face=""Arial"" size=""5"" color=""#ff0011""></font></div></font></font></font>","Set of brand new wheel bolts for car alloy wheels. M12x1.25 26mm thread, taper seat, 17mm. Fits a range of Chrysler cars, see compatibility table for more info.",Chrysler,Alloy wheel nuts and bolts,,http://www.alloywheelnutsandbolts.co.uk/nutsbolts/chrysler/ZB2625Tx16frame.jpg,http://www.alloywheelnutsandbolts.co.uk/nutsbolts/ZB2625T17x16.JPG,http://www.alloywheelnutsandbolts.co.uk/nutsbolts/ZB2625T17specs.jpg,,,,,,72257,,100,New,,,UK_RoyalMail24,0,,UK_OtherCourier24,3.5,3.5,,,,,,,,,,no,no,UK_RoyalMailAirsureInternational,15,15,Worldwide,,,,,,,,,,,,,,,,,,,Disabled,,,,20,,EAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand,Bimecc C17B26,Reference OE/OEM Number,Car wheel bolts nuts lugs M12x1.25 to fit Chrysler,Unit Quantity,16,MPN,M12x1.25 taper 17mm hex 26mm thread wheel bolts,Type,Bolts,Thread,M12 x 1.25,Length,26mm,Hex,17mm,Seat,Taper,,Bimecc C17B26,car wheel bolts for Chrysler,
248bc9bd-e8cf-4002-bc3a-a931ed86078c,ZB26/25T17x16-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,55227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248bc9bd-e8cf-4002-bc3a-a931ed86078c,ZB26/25T17x16-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,55230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248bc9bd-e8cf-4002-bc3a-a931ed86078c,ZB26/25T17x16-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,55232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248bc9bd-e8cf-4002-bc3a-a931ed86078c,ZB26/25T17x16-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,55233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248bc9bd-e8cf-4002-bc3a-a931ed86078c,ZB26/25T17x16-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,55222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248bc9bd-e8cf-4002-bc3a-a931ed86078c,ZB26/25T17x16-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,55223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248bc9bd-e8cf-4003-bc3a-a931ed86078c,ZB26/25T17x20-Chrysler,Product,Chrysler Delta alloy wheel bolts M12 x 1.25 taper 17mm Hex set of 20,,,,15.99,,"<font rwr=""1"" size=""4"" style=""font-family:Arial""><font rwr=""1"" size=""4"" style=""font-family:Arial""><p style=""text-align: center;"">This listing is for a <font style=""font-size: 20px;""><strong>set of 20&nbsp;</strong></font>brand new wheel bolts.</p> <p style=""text-align: center;"">These nuts are top quality<font style=""font-size: 18px;""> high tensile carbon steel</font> which is <font style=""font-size: 18px;"">bright zinc plated to</font>&nbsp;resist rust.</p> <p style=""text-align: center;""><b>Suitable for original and after market wheels</b>.</p><p style=""text-align: center;""><br><br></p><table align=""center"" class="""" style=""width: 800px; height: 400px;""><tbody><tr><td class="""" style=""text-align: center; vertical-align: middle; width: 300px;""><div>&nbsp;<strong style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);""><font>Specifications</font></strong><br style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);""><span style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);"">Thread size: M12 x 1.25</span><br style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);""><span style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);"">Thread length: 26mm</span><br style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);""><span style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);"">Overall bolt width: 23mm</span><br style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);""><span style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);"">Overall bolt length: 51mm (inc the head)</span><br style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);""><span style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);"">Seat type: Tapered (Cone shaped)</span><br style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);""><span style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);"">Bolt material: Heat treated carbon alloy steel</span><br style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);""><span style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);"">Bolt finish: Bright zinc plated</span><br style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);""><span style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);"">Spanner size: 17mm Hex</span></div><div><span style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);"">&nbsp;</span></div><div><span style=""color: rgb(51, 51, 51); font-family: Arial; background-color: rgb(255, 255, 255);""></span></div></td><td style=""width: 300px;""><img src=""http://www.alloywheelnutsandbolts.co.uk/nutsbolts/ZB2625T17specs.jpg"" style=""text-align: center; width: 258px; height: 384px; top: 541px;"">&nbsp;</td></tr></tbody></table><p>&nbsp;</p> <p style=""text-align: center;""> </p> <p style=""text-align: center;""> </p><p style=""text-align: left;"">&nbsp;</p><hr><br><br><br><font style=""font-size: 26px;""><strong>FAQ's</strong></font><br>Below are some of the common questions we get with some answers<br><br><font style=""font-size: 22px;"">What is Hex?</font><br><font color=""#7f7f7f"">The Hex refers to the size of the nut/bolt head and therefore the corresponding size of the socket used with the wheel brace.</font><br><br><font style=""font-size: 22px;"">What is the seat?</font><br><font color=""#7f7f7f"">The seat is the part of the nut/bolt that comes into contact with the wheel in the bolt holes.<br>There are 3 main styles of seat<br><strong>Tapered</strong> - usually 60 degrees, this looks like a cone<br><strong>Radius</strong> - this looks like a bowl<br><strong>Flat </strong>- this is usually a flat washer.</font><br><br><font style=""font-size: 22px;"">What is M12 x 1.25?</font><br><font color=""#7f7f7f"">This is the size of the thread.<br>The <strong><span style=""text-decoration: underline;"">M</span></strong> number is the diameter of the thread and the 1.25 is the size of the pitch between each individual threads.<br>So an M12 x 1.25 is a 12mm diameter by 1.25mm thread.</font><br><br><img src=""http://www.trsuk.co.uk/template/threadpitch.jpg""><br><br><font color=""#7f7f7f"">There are 4 common sizes<br>M12 x1.25<br>M12 x 1.5<br>M14 x 1.25<br>M14 x 1.5</font><br><br><font style=""font-size: 22px;"">How do I know what nuts or bolts I need?</font><br><font color=""#7f7f7f"">We have tried to make it as easy as possible for you to identify the correct nuts/bolts for your car.<br>If the compatibility info of this listing is states for your car then this will be the standard fitment you require.<br>If you are still not sure please feel free to call us on <font style=""font-size: 18px;""><strong><span style=""text-decoration: underline;"">01622 735368</span></strong></font> and a member of our team will be happy to help.</font><p>&nbsp;</p><br><font rwr=""1"" size=""4"" style=""font-family:Arial""><font size=""5"" style=""font-family: Arial;"" color=""#ff0011"">Postage and Delivery</font><div style=""font-family: Arial;"">All postage prices are stated at the top of this page under the postage tab. We try to include a delivery service within the cost of all our listings so that there are no hidden costs. Please do check the postage tab to so which postage method is included.</div><div style=""font-family: Arial;""><br></div><div><div><font face=""Arial"" color=""#ff0011""></font></div><div><font face=""Arial""></font></div><div><font face=""Arial""><br></font></div><div><font face=""Arial""></font></div></div><div><font face=""Arial""><br></font></div><div style=""text-align: center;""><font face=""Arial"" size=""5"" color=""#ff0011""></font></div></font></font></font>","Set of brand new wheel bolts for car alloy wheels. M12x1.25 26mm thread, taper seat, 17mm. Fits a range of Chrysler cars, see compatibility table for more info.",Chrysler,Alloy wheel nuts and bolts,,http://www.alloywheelnutsandbolts.co.uk/nutsbolts/chrysler/ZB2625Tx20frame.jpg,http://www.alloywheelnutsandbolts.co.uk/nutsbolts/ZB2625T17x20.JPG,http://www.alloywheelnutsandbolts.co.uk/nutsbolts/ZB2625T17specs.jpg,,,,,,72257,,100,New,,,UK_RoyalMail24,0,,UK_OtherCourier24,3.5,3.5,,,,,,,,,,no,no,UK_RoyalMailAirsureInternational,15,15,Worldwide,,,,,,,,,,,,,,,,,,,Disabled,,,,20,,EAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brand,Bimecc C17B26,Reference OE/OEM Number,Car wheel bolts nuts lugs M12x1.25 to fit Chrysler,Unit Quantity,20,MPN,M12x1.25 taper 17mm hex 26mm thread wheel bolts,Type,Bolts,Thread,M12 x 1.25,Length,26mm,Hex,17mm,Seat,Taper,,Bimecc C17B26,car wheel bolts for Chrysler,
248bc9bd-e8cf-4003-bc3a-a931ed86078c,ZB26/25T17x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,55227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248bc9bd-e8cf-4003-bc3a-a931ed86078c,ZB26/25T17x20-Chrysler,Compatibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KType,55230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
